File Name,Number,Vulnerability Type,All Details
76_SkinnyOptimisticOracleInterface_RealWorld_20240811055536.log,6,"<INFO> External Oracle Dependency Identified, <INFO> Lack of Authorization Identified, <INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified, <INFO> Precision Loss Identified, <INFO> Price Manipulation Identified"
90_IReweightableIndex_RealWorld_20240811175919.log,1,<INFO> Lack of Withdrawal Function Identified
69_NFTXVaultFactoryUpgradeable_RealWorld_20240809231410.log,8,"<INFO> Centralization Risk Identified, <INFO> Lack of Authorization Identified, <INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified, <INFO> Missing 'onlyOwner' Modifier Identified, <INFO> Potential Data Inconsistency Identified, <INFO> Precision Loss Identified, <INFO> Redundant Conditional Check Identified"
73_L1ArbitrumMessenger_RealWorld_20240810161908.log,5,"<INFO> Centralization Risk Identified, <INFO> Lack of Authorization Identified, <INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified, <INFO> Unchecked External Calls Identified"
69_TestUpgrade_RealWorld_20240810023534.log,2,"<INFO> Lack of Withdrawal Function Identified, <INFO> Unnecessary Comparison Identified"
92_TurboSavior.t_RealWorld_20240811194601.log,9,"<INFO> Centralization Risk Identified, <INFO> External Oracle Dependency Identified, <INFO> Lack of Authorization Identified, <INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified, <INFO> Precision Loss Identified, <INFO> Price Manipulation Identified, <INFO> Redundant Conditional Check Identified, <INFO> Unchecked External Calls Identified"
81_CTokenInterface_RealWorld_20240811143605.log,1,<INFO> Lack of Input Validation Identified
90_BP_RealWorld_20240811174154.log,1,<INFO> Lack of Withdrawal Function Identified
73_MTicketProcessor_RealWorld_20240810170126.log,3,"<INFO> Centralization Risk Identified, <INFO> Lack of Getter Function Implementation Identified, <INFO> Lack of Input Validation Identified"
73_IMerkleSnapshot_RealWorld_20240810183328.log,2,"<INFO> Lack of Getter Function Implementation Identified, <INFO> Lack of Withdrawal Function Identified"
76_ISherClaim_RealWorld_20240811042432.log,3,"<INFO> Centralization Risk Identified, <INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified"
90_IPriceOracle_RealWorld_20240811175014.log,3,"<INFO> External Oracle Dependency Identified, <INFO> Lack of Withdrawal Function Identified, <INFO> Price Manipulation Identified"
69_IERC1155_RealWorld_20240810021927.log,2,"<INFO> Lack of Input Validation Identified, <INFO> Lack of Withdrawal Function Identified"
69_IPrevNftxContract_RealWorld_20240810003546.log,2,"<INFO> Lack of Getter Function Implementation Identified, <INFO> Lack of Withdrawal Function Identified"
70_XVader_RealWorld_20240810081837.log,2,"<INFO> Centralization Risk Identified, <INFO> Lack of Input Validation Identified"
